Time,Node,PortIndex,DropPacket
+1062700000.0ns,s4,3,1396
+1062800000.0ns,s4,3,1396
+1062900000.0ns,s4,3,1396
+1063000000.0ns,s4,3,1396
+1063100000.0ns,s4,3,1396
+1063200000.0ns,s4,3,1396
+1063300000.0ns,s4,3,1396
+1063400000.0ns,s4,3,1396
+1063500000.0ns,s4,3,1396
+1063600000.0ns,s4,3,1396
+1063700000.0ns,s4,3,1396
+1063800000.0ns,s4,3,1396
+1063900000.0ns,s4,3,1396
+1064000000.0ns,s4,3,1396
+1064100000.0ns,s4,3,1396
+1064200000.0ns,s4,3,1396
+1064300000.0ns,s4,3,1396
+1064400000.0ns,s4,3,1396
+1064500000.0ns,s4,3,1396
+1064600000.0ns,s4,3,1396
+1064700000.0ns,s4,3,1396
+1064800000.0ns,s4,3,1396
+1064900000.0ns,s4,3,1396
+1065000000.0ns,s4,3,1396
+1065100000.0ns,s4,3,1396
+1065200000.0ns,s4,3,1396
+1065300000.0ns,s4,3,1396
+1065400000.0ns,s4,3,1396
+1065500000.0ns,s4,3,1396
+1065600000.0ns,s4,3,1396
+1065700000.0ns,s4,3,1396
+1065800000.0ns,s4,3,1396
+1065900000.0ns,s4,3,1396
+1066000000.0ns,s4,3,1396
+1066100000.0ns,s4,3,1396
+1066200000.0ns,s4,3,1396
+1066300000.0ns,s4,3,1396
+1066400000.0ns,s4,3,1396
+1066500000.0ns,s4,3,1396
+1066600000.0ns,s4,3,1396
+1066700000.0ns,s4,3,1396
+1066800000.0ns,s4,3,1396
+1066900000.0ns,s4,3,1396
+1067000000.0ns,s4,3,1396
+1067100000.0ns,s4,3,1396
+1067200000.0ns,s4,3,1396
+1067300000.0ns,s4,3,1396
+1067400000.0ns,s4,3,1396
+1067500000.0ns,s4,3,1396
+1067600000.0ns,s4,3,1396
+1067700000.0ns,s4,3,1396
+1067800000.0ns,s4,3,1396
+1067900000.0ns,s4,3,1396
+1068000000.0ns,s4,3,1396
+1068100000.0ns,s4,3,1396
+1068200000.0ns,s4,3,1396
+1068300000.0ns,s4,3,1396
+1068400000.0ns,s4,3,1396
+1068500000.0ns,s4,3,1396
+1068600000.0ns,s4,3,1396
+1068700000.0ns,s4,3,1396
+1068800000.0ns,s4,3,1396
+1068900000.0ns,s4,3,1396
+1069000000.0ns,s4,3,1396
+1069100000.0ns,s4,3,1396
+1069200000.0ns,s4,3,1396
+1069300000.0ns,s4,3,1396
+1069400000.0ns,s4,3,1396
+1069500000.0ns,s4,3,1396
+1069600000.0ns,s4,3,1396
+1069700000.0ns,s4,3,1396
+1069800000.0ns,s4,3,1396
+1069900000.0ns,s4,3,1396
+1070000000.0ns,s4,3,1396
+1070100000.0ns,s4,3,1396
+1070200000.0ns,s4,3,1396
+1070300000.0ns,s4,3,1396
+1070400000.0ns,s4,3,1396
+1070500000.0ns,s4,3,1396
+1070600000.0ns,s4,3,1396
+1070700000.0ns,s4,3,1396
+1070800000.0ns,s4,3,1396
+1070900000.0ns,s4,3,1396
+1071000000.0ns,s4,3,1396
+1071100000.0ns,s4,3,1396
+1071200000.0ns,s4,3,1396
+1071300000.0ns,s4,3,1396
+1071400000.0ns,s4,3,1396
+1071500000.0ns,s4,3,1396
+1071600000.0ns,s4,3,1396
+1071700000.0ns,s4,3,1396
+1071800000.0ns,s4,3,1396
+1071900000.0ns,s4,3,1396
+1072000000.0ns,s4,3,1396
+1072100000.0ns,s4,3,1396
+1072200000.0ns,s4,3,1396
+1072300000.0ns,s4,3,1396
+1072400000.0ns,s4,3,1396
+1072500000.0ns,s4,3,1396
+1072600000.0ns,s4,3,1396
+1072700000.0ns,s4,3,1396
+1072800000.0ns,s4,3,1396
+1072900000.0ns,s4,3,1396
+1073000000.0ns,s4,3,1396
+1073100000.0ns,s4,3,1396
+1073200000.0ns,s4,3,1396
+1073300000.0ns,s4,3,1396
+1073400000.0ns,s4,3,1396
+1073500000.0ns,s4,3,1396
+1073600000.0ns,s4,3,1396
+1073700000.0ns,s4,3,1396
+1073800000.0ns,s4,3,1396
+1073900000.0ns,s4,3,1396
+1074000000.0ns,s4,3,1396
+1074100000.0ns,s4,3,1396
+1074200000.0ns,s4,3,1396
+1074300000.0ns,s4,3,1396
+1074400000.0ns,s4,3,1396
+1074500000.0ns,s4,3,1396
+1074600000.0ns,s4,3,1396
+1074700000.0ns,s4,3,1396
+1074800000.0ns,s4,3,1396
+1074900000.0ns,s4,3,1396
+1075000000.0ns,s4,3,1396
+1075100000.0ns,s4,3,1396
+1075200000.0ns,s4,3,1396
+1075300000.0ns,s4,3,1396
+1075400000.0ns,s4,3,1396
+1075500000.0ns,s4,3,1396
+1075600000.0ns,s4,3,1396
+1075700000.0ns,s4,3,1396
+1075800000.0ns,s4,3,1396
+1075900000.0ns,s4,3,1396
+1076000000.0ns,s4,3,1396
+1076100000.0ns,s4,3,1396
+1076200000.0ns,s4,3,1396
+1076300000.0ns,s4,3,1396
+1076400000.0ns,s4,3,1396
+1076500000.0ns,s4,3,1396
+1076600000.0ns,s4,3,1396
+1076700000.0ns,s4,3,1396
+1076800000.0ns,s4,3,1396
+1076900000.0ns,s4,3,1396
+1077000000.0ns,s4,3,1396
+1077100000.0ns,s4,3,1396
+1077200000.0ns,s4,3,1396
+1077300000.0ns,s4,3,1396
+1077400000.0ns,s4,3,1396
+1077500000.0ns,s4,3,1396
+1077600000.0ns,s4,3,1396
+1077700000.0ns,s4,3,1396
+1077800000.0ns,s4,3,1396
+1077900000.0ns,s4,3,1396
+1078000000.0ns,s4,3,1396
+1078100000.0ns,s4,3,1396
+1078200000.0ns,s4,3,1396
+1078300000.0ns,s4,3,1396
+1078400000.0ns,s4,3,1396
+1078500000.0ns,s4,3,1396
+1078600000.0ns,s4,3,1396
+1078700000.0ns,s4,3,1396
+1078800000.0ns,s4,3,1396
+1078900000.0ns,s4,3,1396
+1079000000.0ns,s4,3,1396
+1079100000.0ns,s4,3,1396
+1079200000.0ns,s4,3,1396
+1079300000.0ns,s4,3,1396
+1079400000.0ns,s4,3,1396
+1079500000.0ns,s4,3,1396
+1079600000.0ns,s4,3,1396
+1079700000.0ns,s4,3,1396
+1079800000.0ns,s4,3,1396
+1079900000.0ns,s4,3,1396
+1080000000.0ns,s4,3,1396
+1080100000.0ns,s4,3,1396
+1080200000.0ns,s4,3,1396
+1080300000.0ns,s4,3,1396
+1080400000.0ns,s4,3,1396
+1080500000.0ns,s4,3,1396
+1080600000.0ns,s4,3,1396
+1080700000.0ns,s4,3,1396
+1080800000.0ns,s4,3,1396
+1080900000.0ns,s4,3,1396
+1081000000.0ns,s4,3,1396
+1081100000.0ns,s4,3,1396
+1081200000.0ns,s4,3,1396
+1081300000.0ns,s4,3,1396
+1081400000.0ns,s4,3,1396
+1081500000.0ns,s4,3,1396
+1081600000.0ns,s4,3,1396
+1081700000.0ns,s4,3,1396
+1081800000.0ns,s4,3,1396
+1081900000.0ns,s4,3,1396
+1082000000.0ns,s4,3,1396
+1082100000.0ns,s4,3,1396
+1082200000.0ns,s4,3,1396
+1082300000.0ns,s4,3,1396
+1082400000.0ns,s4,3,1396
+1082500000.0ns,s4,3,1396
+1082600000.0ns,s4,3,1396
+1082700000.0ns,s4,3,1396
+1082800000.0ns,s4,3,1396
+1082900000.0ns,s4,3,1396
+1083000000.0ns,s4,3,1396
+1083100000.0ns,s4,3,1396
+1083200000.0ns,s4,3,1396
+1083300000.0ns,s4,3,1396
+1083400000.0ns,s4,3,1396
+1083500000.0ns,s4,3,1396
+1083600000.0ns,s4,3,1396
+1083700000.0ns,s4,3,1396
+1083800000.0ns,s4,3,1396
+1083900000.0ns,s4,3,1396
+1084000000.0ns,s4,3,1396
+1084100000.0ns,s4,3,1396
+1084200000.0ns,s4,3,1396
+1084300000.0ns,s4,3,1396
+1084400000.0ns,s4,3,1396
+1084500000.0ns,s4,3,1396
+1084600000.0ns,s4,3,1396
+1084700000.0ns,s4,3,1396
+1084800000.0ns,s4,3,1396
+1084900000.0ns,s4,3,1396
+1085000000.0ns,s4,3,1396
