Time,Node,IfIndex,qIndex,PfcType,Time
+1012798069.0ns,s43,0,0,R,0
+1012798070.0ns,s43,0,0,P,0
+1012798098.0ns,s43,0,0,R,0
+1012798099.0ns,s43,0,0,P,0
+1012802263.0ns,s43,0,0,R,0
+1012806148.0ns,s43,0,0,P,0
+1012806161.0ns,s43,0,0,R,0
+1012806177.0ns,s43,0,0,P,0
+1012806190.0ns,s43,0,0,R,0
+1012806206.0ns,s43,0,0,P,0
+1012810355.0ns,s43,0,0,R,0
+1012814240.0ns,s43,0,0,P,0
+1012814253.0ns,s43,0,0,R,0
+1012814269.0ns,s43,0,0,P,0
+1012814282.0ns,s43,0,0,R,0
+1012814298.0ns,s43,0,0,P,0
+1012818447.0ns,s43,0,0,R,0
+1012822332.0ns,s43,0,0,P,0
+1012822345.0ns,s43,0,0,R,0
+1012822361.0ns,s43,0,0,P,0
+1012822374.0ns,s43,0,0,R,0
+1012822390.0ns,s43,0,0,P,0
+1012826539.0ns,s43,0,0,R,0
+1012830424.0ns,s43,0,0,P,0
+1012830437.0ns,s43,0,0,R,0
+1012830453.0ns,s43,0,0,P,0
+1012830466.0ns,s43,0,0,R,0
+1012830482.0ns,s43,0,0,P,0
+1012834631.0ns,s43,0,0,R,0
+1012838516.0ns,s43,0,0,P,0
+1012838529.0ns,s43,0,0,R,0
+1012838545.0ns,s43,0,0,P,0
+1012838558.0ns,s43,0,0,R,0
+1012838574.0ns,s43,0,0,P,0
+1012842723.0ns,s43,0,0,R,0
+1012846608.0ns,s43,0,0,P,0
+1012846621.0ns,s43,0,0,R,0
+1012846637.0ns,s43,0,0,P,0
+1012846650.0ns,s43,0,0,R,0
+1012846666.0ns,s43,0,0,P,0
+1012850815.0ns,s43,0,0,R,0
+1012854700.0ns,s43,0,0,P,0
+1012854713.0ns,s43,0,0,R,0
+1012854729.0ns,s43,0,0,P,0
+1012854742.0ns,s43,0,0,R,0
+1012854758.0ns,s43,0,0,P,0
+1012858907.0ns,s43,0,0,R,0
+1013653123.0ns,s7,0,0,P,0
+1013653167.0ns,s7,0,0,R,0
+1013653242.0ns,s7,0,0,P,0
+1013653286.0ns,s7,0,0,R,0
+1013653361.0ns,s7,0,0,P,0
+1013653405.0ns,s7,0,0,R,0
+1013653480.0ns,s7,0,0,P,0
+1013653524.0ns,s7,0,0,R,0
+1013653599.0ns,s7,0,0,P,0
+1013656261.0ns,s7,0,0,R,0
