Time,Node,IfIndex,qIndex,PfcType,Time
+1002071448.0ns,s7,0,0,P,0
+1002078677.0ns,s7,0,0,R,0
+1002083534.0ns,s7,0,0,P,0
+1002086967.0ns,s7,0,0,R,0
+1002091705.0ns,s7,0,0,P,0
+1002095178.0ns,s7,0,0,R,0
+1002100273.0ns,s7,0,0,P,0
+1002100324.0ns,s7,0,0,R,0
+1002100392.0ns,s7,0,0,P,0
+1002104251.0ns,s7,0,0,R,0
+1002109822.0ns,s7,0,0,P,0
+1002109844.0ns,s7,0,0,R,0
+1002109941.0ns,s7,0,0,P,0
+1002114842.0ns,s7,0,0,R,0
+1003130873.0ns,s43,0,0,P,0
+1003130906.0ns,s43,0,0,R,0
+1003130963.0ns,s43,0,0,P,0
+1003135071.0ns,s43,0,0,R,0
+1003137738.0ns,s43,0,0,P,0
+1003146131.0ns,s43,0,0,R,0
+1003146374.0ns,s41,0,0,P,0
+1003147583.0ns,s41,0,0,R,0
+1003147590.0ns,s41,0,0,P,0
+1003147612.0ns,s41,0,0,R,0
+1003148827.0ns,s43,0,0,P,0
+1003153461.0ns,s41,0,0,P,0
+1003157079.0ns,s43,0,0,R,0
+1003158869.0ns,s41,0,0,R,0
+1003159746.0ns,s43,0,0,P,0
+1003162765.0ns,s41,0,0,P,0
+1003168092.0ns,s43,0,0,R,0
+1003170687.0ns,s41,0,0,R,0
+1003170759.0ns,s43,0,0,P,0
+1003173770.0ns,s41,0,0,P,0
+1003178975.0ns,s43,0,0,R,0
+1003181671.0ns,s43,0,0,P,0
+1003181987.0ns,s41,0,0,R,0
+1003184683.0ns,s41,0,0,P,0
+1003189487.0ns,s43,0,0,R,0
+1003192509.0ns,s41,0,0,R,0
+1003192656.0ns,s43,0,0,P,0
+1003192710.0ns,s43,0,0,R,0
+1003192714.0ns,s43,0,0,P,0
+1003195727.0ns,s41,0,0,P,0
+1003198174.0ns,s43,0,0,R,0
+1003200870.0ns,s43,0,0,P,0
+1003200911.0ns,s43,0,0,R,0
+1003200928.0ns,s43,0,0,P,0
+1003201175.0ns,s41,0,0,R,0
+1003203886.0ns,s41,0,0,P,0
+1003206385.0ns,s43,0,0,R,0
+1003207509.0ns,s6,0,0,P,0
+1003207510.0ns,s6,0,0,R,0
+1003207747.0ns,s6,0,0,P,0
+1003207827.0ns,s6,0,0,R,0
+1003207866.0ns,s6,0,0,P,0
+1003207867.0ns,s6,0,0,R,0
+1003207985.0ns,s6,0,0,P,0
+1003208065.0ns,s6,0,0,R,0
+1003208104.0ns,s6,0,0,P,0
+1003208105.0ns,s6,0,0,R,0
+1003208223.0ns,s6,0,0,P,0
+1003208224.0ns,s6,0,0,R,0
+1003208461.0ns,s6,0,0,P,0
+1003208541.0ns,s6,0,0,R,0
+1003208580.0ns,s6,0,0,P,0
+1003208581.0ns,s6,0,0,R,0
+1003208699.0ns,s6,0,0,P,0
+1003208779.0ns,s6,0,0,R,0
+1003208818.0ns,s6,0,0,P,0
+1003209017.0ns,s6,0,0,R,0
+1003209056.0ns,s6,0,0,P,0
