Time,Node,IfIndex,qIndex,PfcType,Time
+1002161689.0ns,s5,0,0,P,0
+1002161690.0ns,s5,0,0,R,0
+1002161812.0ns,s5,0,0,P,0
+1002161813.0ns,s5,0,0,R,0
+1002162322.0ns,s7,0,0,P,0
+1002162344.0ns,s7,0,0,R,0
+1002162425.0ns,s7,0,0,P,0
+1002164611.0ns,s7,0,0,R,0
+1002167326.0ns,s7,0,0,P,0
+1002172064.0ns,s5,0,0,P,0
+1002172184.0ns,s5,0,0,R,0
+1002172185.0ns,s5,0,0,P,0
+1002172309.0ns,s5,0,0,R,0
+1002172310.0ns,s5,0,0,P,0
+1002175077.0ns,s5,0,0,R,0
+1002176921.0ns,s7,0,0,R,0
+1002179754.0ns,s7,0,0,P,0
+1002179755.0ns,s7,0,0,R,0
+1002179756.0ns,s7,0,0,P,0
+1002180905.0ns,s5,0,0,P,0
+1002180947.0ns,s5,0,0,R,0
+1002181028.0ns,s5,0,0,P,0
+1002184824.0ns,s7,0,0,R,0
+1002186187.0ns,s5,0,0,R,0
+1002188989.0ns,s7,0,0,P,0
+1002189039.0ns,s7,0,0,R,0
+1002189086.0ns,s7,0,0,P,0
+1002190857.0ns,s5,0,0,P,0
+1002190858.0ns,s5,0,0,R,0
+1002190978.0ns,s5,0,0,P,0
+1002190979.0ns,s5,0,0,R,0
+1002191099.0ns,s5,0,0,P,0
+1002194037.0ns,s7,0,0,R,0
+1002197607.0ns,s5,0,0,R,0
+1002198180.0ns,s7,0,0,P,0
+1002198422.0ns,s7,0,0,R,0
+1002198423.0ns,s7,0,0,P,0
+1002202036.0ns,s5,0,0,P,0
+1002204390.0ns,s7,0,0,R,0
+1002206651.0ns,s5,0,0,R,0
+1002207105.0ns,s7,0,0,P,0
+1002207127.0ns,s7,0,0,R,0
+1002207224.0ns,s7,0,0,P,0
+1002209987.0ns,s5,0,0,P,0
+1002211649.0ns,s7,0,0,R,0
+1002215078.0ns,s7,0,0,P,0
+1002218194.0ns,s5,0,0,R,0
+1002220098.0ns,s7,0,0,R,0
+1002220314.0ns,s5,0,0,P,0
+1002220315.0ns,s5,0,0,R,0
+1002220437.0ns,s5,0,0,P,0
+1002220438.0ns,s5,0,0,R,0
+1002220560.0ns,s5,0,0,P,0
+1002220561.0ns,s5,0,0,R,0
+1002220683.0ns,s5,0,0,P,0
+1002220684.0ns,s5,0,0,R,0
+1002223289.0ns,s7,0,0,P,0
+1002223311.0ns,s7,0,0,R,0
+1002223408.0ns,s7,0,0,P,0
+1002227357.0ns,s7,0,0,R,0
+1002231381.0ns,s7,0,0,P,0
+1002231782.0ns,s12,0,0,P,0
+1002231788.0ns,s12,0,0,R,0
+1002231901.0ns,s12,0,0,P,0
+1002231907.0ns,s12,0,0,R,0
+1002232083.0ns,s12,0,0,P,0
+1002235001.0ns,s12,0,0,R,0
+1002235449.0ns,s7,0,0,R,0
+1002240643.0ns,s7,0,0,P,0
+1002242718.0ns,s12,0,0,P,0
+1002242736.0ns,s12,0,0,R,0
+1002242882.0ns,s12,0,0,P,0
+1002244428.0ns,s7,0,0,R,0
+1002245953.0ns,s12,0,0,R,0
+1002249047.0ns,s7,0,0,P,0
+1002249126.0ns,s7,0,0,R,0
+1002249166.0ns,s7,0,0,P,0
+1002253106.0ns,s12,0,0,P,0
+1002253241.0ns,s12,0,0,R,0
+1002253242.0ns,s12,0,0,P,0
+1002253264.0ns,s12,0,0,R,0
+1002253344.0ns,s12,0,0,P,0
+1002254124.0ns,s7,0,0,R,0
+1002256314.0ns,s12,0,0,R,0
+1002257434.0ns,s7,0,0,P,0
+1002257503.0ns,s7,0,0,R,0
+1002257553.0ns,s7,0,0,P,0
+1002263334.0ns,s7,0,0,R,0
+1002265371.0ns,s12,0,0,P,0
+1002265405.0ns,s12,0,0,R,0
+1002265490.0ns,s12,0,0,P,0
+1002265524.0ns,s12,0,0,R,0
+1002265609.0ns,s12,0,0,P,0
+1002266525.0ns,s7,0,0,P,0
+1002268737.0ns,s12,0,0,R,0
+1002272378.0ns,s7,0,0,R,0
+1002274778.0ns,s12,0,0,P,0
+1002274779.0ns,s12,0,0,R,0
+1002274788.0ns,s12,0,0,P,0
+1002274806.0ns,s12,0,0,R,0
+1002274907.0ns,s12,0,0,P,0
+1002274925.0ns,s12,0,0,R,0
+1002275026.0ns,s12,0,0,P,0
+1002275212.0ns,s7,0,0,P,0
+1002275234.0ns,s7,0,0,R,0
+1002275331.0ns,s7,0,0,P,0
+1002278315.0ns,s12,0,0,R,0
+1002283832.0ns,s12,0,0,P,0
+1002283833.0ns,s12,0,0,R,0
+1002283886.0ns,s12,0,0,P,0
