Time,Node,IfIndex,qIndex,PfcType,Time
+1002250329.0ns,s13,0,0,R,0
+1002252541.0ns,s7,0,0,R,0
+1002252687.0ns,s13,0,0,P,0
+1002252826.0ns,h5,0,0,P,0
+1002252827.0ns,h5,0,0,R,0
+1002252945.0ns,h5,0,0,P,0
+1002255327.0ns,s15,0,0,R,0
+1002255732.0ns,s7,0,0,P,0
+1002255754.0ns,s7,0,0,R,0
+1002255851.0ns,s7,0,0,P,0
+1002258470.0ns,h5,0,0,R,0
+1002259113.0ns,s15,0,0,P,0
+1002259320.0ns,h6,0,0,R,0
+1002260926.0ns,s7,0,0,R,0
+1002261820.0ns,h6,0,0,P,0
+1002261928.0ns,h5,0,0,P,0
+1002263712.0ns,s15,0,0,R,0
+1002265069.0ns,s7,0,0,P,0
+1002265091.0ns,s7,0,0,R,0
+1002265188.0ns,s7,0,0,P,0
+1002265210.0ns,s7,0,0,R,0
+1002265307.0ns,s7,0,0,P,0
+1002265329.0ns,s7,0,0,R,0
+1002265426.0ns,s7,0,0,P,0
+1002265448.0ns,s7,0,0,R,0
+1002265545.0ns,s7,0,0,P,0
+1002265567.0ns,s7,0,0,R,0
+1002265664.0ns,s7,0,0,P,0
+1002267331.0ns,h5,0,0,R,0
+1002268357.0ns,s7,0,0,R,0
+1002269164.0ns,s15,0,0,P,0
+1002269834.0ns,s15,0,0,R,0
+1002269878.0ns,s15,0,0,P,0
+1002269953.0ns,s15,0,0,R,0
+1002269997.0ns,s15,0,0,P,0
+1002270072.0ns,s15,0,0,R,0
+1002270116.0ns,s15,0,0,P,0
+1002270151.0ns,h6,0,0,R,0
+1002270191.0ns,s15,0,0,R,0
+1002270235.0ns,s15,0,0,P,0
+1002270310.0ns,s15,0,0,R,0
+1002270354.0ns,s15,0,0,P,0
+1002270429.0ns,s15,0,0,R,0
+1002270473.0ns,s15,0,0,P,0
+1002270548.0ns,s15,0,0,R,0
+1002270592.0ns,s15,0,0,P,0
+1002270667.0ns,s15,0,0,R,0
+1002270711.0ns,s15,0,0,P,0
+1002270712.0ns,s15,0,0,R,0
+1002271429.0ns,s7,0,0,P,0
+1002271451.0ns,s7,0,0,R,0
+1002271548.0ns,s7,0,0,P,0
+1002271570.0ns,s5,0,0,R,0
+1002272631.0ns,h5,0,0,P,0
+1002272739.0ns,h5,0,0,R,0
+1002272750.0ns,h5,0,0,P,0
+1002273016.0ns,h6,0,0,P,0
+1002273136.0ns,h6,0,0,R,0
+1002273137.0ns,h6,0,0,P,0
+1002273382.0ns,s15,0,0,P,0
+1002274047.0ns,s5,0,0,P,0
+1002274668.0ns,s13,0,0,R,0
+1002277145.0ns,s13,0,0,P,0
+1002278866.0ns,s7,0,0,R,0
