Time,Node,PortIndex,DropPacket
+1009800000.0ns,s28,1,1330
+1009800000.0ns,s28,3,1102
+1009800000.0ns,s35,0,2444
+1009800000.0ns,s35,1,3566
+1009800000.0ns,s35,3,45
+1009900000.0ns,s1,1,8163
+1009900000.0ns,s1,2,6517
+1009900000.0ns,s1,3,6296
+1009900000.0ns,s6,2,8367
+1009900000.0ns,s6,3,7406
+1009900000.0ns,s21,0,2701
+1009900000.0ns,s21,4,1096
+1009900000.0ns,s21,1,2297
+1009900000.0ns,s21,3,2989
+1009900000.0ns,s9,2,4135
+1009900000.0ns,s9,3,4050
+1009900000.0ns,s27,0,991
+1009900000.0ns,s27,1,782
+1009900000.0ns,s28,0,909
+1009900000.0ns,s28,1,1330
+1009900000.0ns,s28,3,1102
+1009900000.0ns,s35,0,2444
+1009900000.0ns,s35,1,3566
+1009900000.0ns,s35,3,45
+1010000000.0ns,s1,1,8492
+1010000000.0ns,s1,2,6616
+1010000000.0ns,s1,3,6551
+1010000000.0ns,s6,2,8367
+1010000000.0ns,s6,3,7406
+1010000000.0ns,s21,0,2963
+1010000000.0ns,s21,4,1135
+1010000000.0ns,s21,1,2439
+1010000000.0ns,s21,3,3141
+1010000000.0ns,s9,2,4527
+1010000000.0ns,s9,3,4499
+1010000000.0ns,s27,0,1299
+1010000000.0ns,s27,1,1088
+1010000000.0ns,s28,0,909
+1010000000.0ns,s28,1,1330
+1010000000.0ns,s28,3,1102
+1010000000.0ns,s35,0,2447
+1010000000.0ns,s35,1,3566
+1010000000.0ns,s35,3,45
+1010100000.0ns,s1,1,8632
+1010100000.0ns,s1,2,6715
+1010100000.0ns,s1,3,6742
+1010100000.0ns,s6,2,8381
+1010100000.0ns,s6,3,7430
+1010100000.0ns,s21,0,3117
+1010100000.0ns,s21,4,1140
+1010100000.0ns,s21,1,2499
+1010100000.0ns,s21,3,3228
+1010100000.0ns,s9,2,4855
+1010100000.0ns,s9,3,4957
+1010100000.0ns,s27,0,1587
+1010100000.0ns,s27,1,1245
+1010100000.0ns,s28,0,909
+1010100000.0ns,s28,1,1330
+1010100000.0ns,s28,3,1102
+1010100000.0ns,s35,0,2447
+1010100000.0ns,s35,1,3566
+1010100000.0ns,s35,3,45
+1010200000.0ns,s1,1,8653
+1010200000.0ns,s1,2,6740
+1010200000.0ns,s1,3,6748
+1010200000.0ns,s6,2,8582
+1010200000.0ns,s6,3,7608
+1010200000.0ns,s21,0,3223
+1010200000.0ns,s21,4,1172
+1010200000.0ns,s21,1,2539
+1010200000.0ns,s21,3,3262
+1010200000.0ns,s9,2,5275
+1010200000.0ns,s9,3,5354
+1010200000.0ns,s27,0,1710
+1010200000.0ns,s27,1,1443
+1010200000.0ns,s28,0,909
+1010200000.0ns,s28,1,1330
+1010200000.0ns,s28,3,1102
+1010200000.0ns,s35,0,2447
+1010200000.0ns,s35,1,3566
+1010200000.0ns,s35,3,45
+1010300000.0ns,s1,1,8653
+1010300000.0ns,s1,2,6740
+1010300000.0ns,s1,3,6748
+1010300000.0ns,s6,2,8688
+1010300000.0ns,s6,3,7700
+1010300000.0ns,s21,0,3223
+1010300000.0ns,s21,4,1172
+1010300000.0ns,s21,1,2539
+1010300000.0ns,s21,3,3262
+1010300000.0ns,s9,2,5640
+1010300000.0ns,s9,3,5762
+1010300000.0ns,s27,0,1864
+1010300000.0ns,s27,1,1623
+1010300000.0ns,s28,0,909
+1010300000.0ns,s28,1,1330
+1010300000.0ns,s28,3,1102
+1010300000.0ns,s35,0,2447
+1010300000.0ns,s35,1,3566
+1010300000.0ns,s35,3,45
+1010400000.0ns,s1,1,8653
+1010400000.0ns,s1,2,6740
+1010400000.0ns,s1,3,6748
+1010400000.0ns,s6,2,9059
+1010400000.0ns,s6,3,8040
+1010400000.0ns,s21,0,3223
+1010400000.0ns,s21,4,1172
+1010400000.0ns,s21,1,2539
+1010400000.0ns,s21,3,3262
+1010400000.0ns,s9,2,5981
+1010400000.0ns,s9,3,6124
+1010400000.0ns,s27,0,2017
+1010400000.0ns,s27,1,1761
+1010400000.0ns,s28,0,909
+1010400000.0ns,s28,1,1330
+1010400000.0ns,s28,3,1102
+1010400000.0ns,s35,0,2482
+1010400000.0ns,s35,1,3588
+1010400000.0ns,s35,3,45
+1010500000.0ns,s1,1,8653
+1010500000.0ns,s1,2,6740
+1010500000.0ns,s1,3,6748
+1010500000.0ns,s6,2,9219
+1010500000.0ns,s6,3,8262
+1010500000.0ns,s21,0,3223
+1010500000.0ns,s21,4,1172
+1010500000.0ns,s21,1,2539
+1010500000.0ns,s21,3,3262
+1010500000.0ns,s9,2,6002
+1010500000.0ns,s9,3,6140
+1010500000.0ns,s27,0,2022
+1010500000.0ns,s27,1,1783
+1010500000.0ns,s28,0,909
+1010500000.0ns,s28,1,1330
+1010500000.0ns,s28,3,1102
+1010500000.0ns,s35,0,2651
+1010500000.0ns,s35,1,3766
+1010500000.0ns,s35,3,45
+1010600000.0ns,s1,1,8653
+1010600000.0ns,s1,2,6740
+1010600000.0ns,s1,3,6748
+1010600000.0ns,s6,2,9292
+1010600000.0ns,s6,3,8385
+1010600000.0ns,s21,0,3223
+1010600000.0ns,s21,4,1172
+1010600000.0ns,s21,1,2539
+1010600000.0ns,s21,3,3262
+1010600000.0ns,s9,2,6017
+1010600000.0ns,s9,3,6146
+1010600000.0ns,s27,0,2229
+1010600000.0ns,s27,1,1884
+1010600000.0ns,s28,0,909
+1010600000.0ns,s28,1,1330
+1010600000.0ns,s28,3,1102
+1010600000.0ns,s35,0,2929
+1010600000.0ns,s35,1,4067
+1010600000.0ns,s35,3,45
+1010700000.0ns,s1,1,8653
+1010700000.0ns,s1,2,6740
+1010700000.0ns,s1,3,6748
+1010700000.0ns,s6,2,9318
+1010700000.0ns,s6,3,8437
+1010700000.0ns,s21,0,3223
+1010700000.0ns,s21,4,1172
+1010700000.0ns,s21,1,2539
+1010700000.0ns,s21,3,3262
+1010700000.0ns,s9,2,6036
+1010700000.0ns,s9,3,6154
+1010700000.0ns,s27,0,2326
+1010700000.0ns,s27,1,1916
+1010700000.0ns,s28,0,909
+1010700000.0ns,s28,1,1330
+1010700000.0ns,s28,3,1102
+1010700000.0ns,s35,0,2963
+1010700000.0ns,s35,1,4078
+1010700000.0ns,s35,3,45
+1010800000.0ns,s1,1,8653
+1010800000.0ns,s1,2,6740
+1010800000.0ns,s1,3,6748
+1010800000.0ns,s6,2,9318
+1010800000.0ns,s6,3,8437
+1010800000.0ns,s21,0,3223
+1010800000.0ns,s21,4,1172
+1010800000.0ns,s21,1,2539
+1010800000.0ns,s21,3,3262
+1010800000.0ns,s9,2,6046
+1010800000.0ns,s9,3,6164
+1010800000.0ns,s27,0,2326
+1010800000.0ns,s27,1,1916
+1010800000.0ns,s28,0,909
+1010800000.0ns,s28,1,1330
+1010800000.0ns,s28,3,1102
+1010800000.0ns,s35,0,2963
+1010800000.0ns,s35,1,4078
+1010800000.0ns,s35,3,45
+1010900000.0ns,s1,1,8653
+1010900000.0ns,s1,2,6740
+1010900000.0ns,s1,3,6748
+1010900000.0ns,s6,2,9318
+1010900000.0ns,s6,3,8437
+1010900000.0ns,s21,0,3223
+1010900000.0ns,s21,4,1172
+1010900000.0ns,s21,1,2539
+1010900000.0ns,s21,3,3262
+1010900000.0ns,s9,2,6046
+1010900000.0ns,s9,3,6164
+1010900000.0ns,s27,0,2326
+1010900000.0ns,s27,1,1916
+1010900000.0ns,s28,0,909
+1010900000.0ns,s28,1,1330
+1010900000.0ns,s28,3,1102
+1010900000.0ns,s35,0,2963
+1010900000.0ns,s35,1,4078
+1010900000.0ns,s35,3,45
+1011000000.0ns,s1,1,8653
+1011000000.0ns,s1,2,6740
+1011000000.0ns,s1,3,6748
+1011000000.0ns,s6,2,9318
+1011000000.0ns,s6,3,8437
+1011000000.0ns,s21,0,3223
+1011000000.0ns,s21,4,1172
+1011000000.0ns,s21,1,2539
+1011000000.0ns,s21,3,3262
+1011000000.0ns,s9,2,6046
+1011000000.0ns,s9,3,6164
+1011000000.0ns,s27,0,2551
+1011000000.0ns,s27,1,1984
+1011000000.0ns,s28,0,909
+1011000000.0ns,s28,1,1330
+1011000000.0ns,s28,3,1102
+1011000000.0ns,s35,0,2963
+1011000000.0ns,s35,1,4078
+1011000000.0ns,s35,3,45
+1011100000.0ns,s1,1,8653
+1011100000.0ns,s1,2,6740
+1011100000.0ns,s1,3,6748
+1011100000.0ns,s6,2,9318
+1011100000.0ns,s6,3,8437
+1011100000.0ns,s21,0,3223
+1011100000.0ns,s21,4,1172
+1011100000.0ns,s21,1,2539
+1011100000.0ns,s21,3,3262
+1011100000.0ns,s9,2,6046
+1011100000.0ns,s9,3,6164
+1011100000.0ns,s27,0,2825
+1011100000.0ns,s27,1,2087
+1011100000.0ns,s28,0,909
+1011100000.0ns,s28,1,1330
+1011100000.0ns,s28,3,1102
+1011100000.0ns,s35,0,3174
+1011100000.0ns,s35,1,4242
+1011100000.0ns,s35,3,45
+1011200000.0ns,s1,1,8653
+1011200000.0ns,s1,2,6740
+1011200000.0ns,s1,3,6748
+1011200000.0ns,s6,2,9318
+1011200000.0ns,s6,3,8437
+1011200000.0ns,s21,0,3223
+1011200000.0ns,s21,4,1172
+1011200000.0ns,s21,1,2539
+1011200000.0ns,s21,3,3262
+1011200000.0ns,s9,2,6046
+1011200000.0ns,s9,3,6164
+1011200000.0ns,s27,0,3064
+1011200000.0ns,s27,1,2229
+1011200000.0ns,s28,0,909
+1011200000.0ns,s28,1,1330
+1011200000.0ns,s28,3,1102
+1011200000.0ns,s35,0,3174
+1011200000.0ns,s35,1,4242
+1011200000.0ns,s35,3,45
+1011300000.0ns,s1,1,8653
+1011300000.0ns,s1,2,6740
+1011300000.0ns,s1,3,6748
+1011300000.0ns,s6,2,9318
+1011300000.0ns,s6,3,8437
+1011300000.0ns,s21,0,3223
+1011300000.0ns,s21,4,1172
+1011300000.0ns,s21,1,2539
+1011300000.0ns,s21,3,3262
+1011300000.0ns,s9,2,6046
+1011300000.0ns,s9,3,6164
+1011300000.0ns,s27,0,3102
+1011300000.0ns,s27,1,2279
+1011300000.0ns,s28,0,909
+1011300000.0ns,s28,1,1330
+1011300000.0ns,s28,3,1102
+1011300000.0ns,s35,0,3174
+1011300000.0ns,s35,1,4242
+1011300000.0ns,s35,3,45
+1011400000.0ns,s1,1,8653
+1011400000.0ns,s1,2,6740
+1011400000.0ns,s1,3,6748
+1011400000.0ns,s6,2,9318
+1011400000.0ns,s6,3,8437
+1011400000.0ns,s21,0,3223
+1011400000.0ns,s21,4,1172
+1011400000.0ns,s21,1,2539
+1011400000.0ns,s21,3,3262
+1011400000.0ns,s9,2,6046
+1011400000.0ns,s9,3,6164
+1011400000.0ns,s27,0,3201
+1011400000.0ns,s27,1,2391
+1011400000.0ns,s28,0,909
+1011400000.0ns,s28,1,1330
+1011400000.0ns,s28,3,1102
+1011400000.0ns,s35,0,3174
+1011400000.0ns,s35,1,4242
+1011400000.0ns,s35,3,45
+1011500000.0ns,s1,1,8653
+1011500000.0ns,s1,2,6740
+1011500000.0ns,s1,3,6748
+1011500000.0ns,s6,2,9318
+1011500000.0ns,s6,3,8437
+1011500000.0ns,s21,0,3223
+1011500000.0ns,s21,4,1172
+1011500000.0ns,s21,1,2539
+1011500000.0ns,s21,3,3262
+1011500000.0ns,s9,2,6046
+1011500000.0ns,s9,3,6164
+1011500000.0ns,s27,0,3374
+1011500000.0ns,s27,1,2486
+1011500000.0ns,s28,0,909
+1011500000.0ns,s28,1,1330
+1011500000.0ns,s28,3,1102
+1011500000.0ns,s35,0,3174
+1011500000.0ns,s35,1,4242
+1011500000.0ns,s35,3,45
+1011600000.0ns,s1,1,8730
+1011600000.0ns,s1,2,6790
+1011600000.0ns,s1,3,6870
+1011600000.0ns,s6,2,9318
+1011600000.0ns,s6,3,8437
+1011600000.0ns,s21,0,3223
+1011600000.0ns,s21,4,1172
+1011600000.0ns,s21,1,2539
+1011600000.0ns,s21,3,3262
+1011600000.0ns,s9,2,6046
+1011600000.0ns,s9,3,6164
+1011600000.0ns,s27,0,3723
+1011600000.0ns,s27,1,2768
+1011600000.0ns,s28,0,909
+1011600000.0ns,s28,1,1330
+1011600000.0ns,s28,3,1102
+1011600000.0ns,s35,0,3174
+1011600000.0ns,s35,1,4242
+1011600000.0ns,s35,3,45
+1011700000.0ns,s1,1,9209
+1011700000.0ns,s1,2,6991
+1011700000.0ns,s1,3,7290
+1011700000.0ns,s6,2,9318
+1011700000.0ns,s6,3,8437
+1011700000.0ns,s21,0,3223
+1011700000.0ns,s21,4,1172
+1011700000.0ns,s21,1,2539
+1011700000.0ns,s21,3,3262
+1011700000.0ns,s9,2,6046
+1011700000.0ns,s9,3,6164
+1011700000.0ns,s27,0,3749
+1011700000.0ns,s27,1,2783
+1011700000.0ns,s28,0,909
+1011700000.0ns,s28,1,1330
+1011700000.0ns,s28,3,1102
+1011700000.0ns,s35,0,3174
+1011700000.0ns,s35,1,4242
+1011700000.0ns,s35,3,45
+1011800000.0ns,s1,1,9340
+1011800000.0ns,s1,2,7108
+1011800000.0ns,s1,3,7491
+1011800000.0ns,s6,2,9318
+1011800000.0ns,s6,3,8437
+1011800000.0ns,s21,0,3223
+1011800000.0ns,s21,4,1172
+1011800000.0ns,s21,1,2539
+1011800000.0ns,s21,3,3262
+1011800000.0ns,s9,2,6046
+1011800000.0ns,s9,3,6164
+1011800000.0ns,s27,0,3840
+1011800000.0ns,s27,1,2850
+1011800000.0ns,s28,0,909
+1011800000.0ns,s28,1,1330
+1011800000.0ns,s28,3,1102
+1011800000.0ns,s35,0,3174
+1011800000.0ns,s35,1,4242
+1011800000.0ns,s35,3,45
+1011900000.0ns,s1,1,9469
