Time,Node,PortIndex,DropPacket
+1004400000.0ns,s27,1,6625
+1004400000.0ns,s27,3,3879
+1004400000.0ns,s28,0,627
+1004400000.0ns,s28,1,556
+1004400000.0ns,s34,0,3880
+1004400000.0ns,s34,1,3984
+1004400000.0ns,s34,2,11
+1004400000.0ns,s35,0,1887
+1004400000.0ns,s35,1,1711
+1004400000.0ns,s35,3,1215
+1004500000.0ns,s1,1,13571
+1004500000.0ns,s1,2,12183
+1004500000.0ns,s1,3,13328
+1004500000.0ns,s6,2,3212
+1004500000.0ns,s6,3,3388
+1004500000.0ns,s2,4,4894
+1004500000.0ns,s2,2,4875
+1004500000.0ns,s3,4,12089
+1004500000.0ns,s3,1,12822
+1004500000.0ns,s3,2,10331
+1004500000.0ns,s4,2,4065
+1004500000.0ns,s4,3,4411
+1004500000.0ns,s5,2,5772
+1004500000.0ns,s5,3,5863
+1004500000.0ns,s10,2,1311
+1004500000.0ns,s10,3,1370
+1004500000.0ns,s12,2,6441
+1004500000.0ns,s12,3,6809
+1004500000.0ns,s27,0,6988
+1004500000.0ns,s27,1,7076
+1004500000.0ns,s27,3,4160
+1004500000.0ns,s28,0,969
+1004500000.0ns,s28,1,991
+1004500000.0ns,s28,3,317
+1004500000.0ns,s34,0,4310
+1004500000.0ns,s34,1,4477
+1004500000.0ns,s34,2,11
+1004500000.0ns,s35,0,2042
+1004500000.0ns,s35,1,1882
+1004500000.0ns,s35,3,1388
+1004600000.0ns,s1,1,14166
+1004600000.0ns,s1,2,12692
+1004600000.0ns,s1,3,13882
+1004600000.0ns,s6,2,3667
+1004600000.0ns,s6,3,3864
+1004600000.0ns,s2,4,5296
+1004600000.0ns,s2,2,5313
+1004600000.0ns,s3,4,12625
+1004600000.0ns,s3,1,13370
+1004600000.0ns,s3,2,10845
+1004600000.0ns,s4,2,4463
+1004600000.0ns,s4,3,4812
+1004600000.0ns,s5,2,6270
+1004600000.0ns,s5,3,6299
+1004600000.0ns,s10,2,1639
+1004600000.0ns,s10,3,1718
+1004600000.0ns,s12,2,6818
+1004600000.0ns,s12,3,7312
+1004600000.0ns,s27,0,7375
+1004600000.0ns,s27,1,7432
+1004600000.0ns,s27,3,4415
+1004600000.0ns,s28,0,1290
+1004600000.0ns,s28,1,1369
+1004600000.0ns,s28,3,403
+1004600000.0ns,s34,0,4590
+1004600000.0ns,s34,1,4861
+1004600000.0ns,s34,2,23
+1004600000.0ns,s35,0,2365
+1004600000.0ns,s35,1,2149
+1004600000.0ns,s35,3,1492
+1004700000.0ns,s1,1,14793
+1004700000.0ns,s1,2,13216
+1004700000.0ns,s1,3,14438
+1004700000.0ns,s6,2,4117
+1004700000.0ns,s6,3,4344
+1004700000.0ns,s2,4,5726
+1004700000.0ns,s2,2,5732
+1004700000.0ns,s3,4,13178
+1004700000.0ns,s3,1,13943
+1004700000.0ns,s3,2,11397
+1004700000.0ns,s4,2,4896
+1004700000.0ns,s4,3,5248
+1004700000.0ns,s5,2,6747
+1004700000.0ns,s5,3,6753
+1004700000.0ns,s10,2,1925
+1004700000.0ns,s10,3,2067
+1004700000.0ns,s12,2,7255
+1004700000.0ns,s12,3,7749
+1004700000.0ns,s27,0,7796
+1004700000.0ns,s27,1,7876
+1004700000.0ns,s27,3,4649
+1004700000.0ns,s28,0,1633
+1004700000.0ns,s28,1,1727
+1004700000.0ns,s28,3,490
+1004700000.0ns,s34,0,5026
+1004700000.0ns,s34,1,5232
+1004700000.0ns,s34,2,23
+1004700000.0ns,s35,0,2694
+1004700000.0ns,s35,1,2473
+1004700000.0ns,s35,3,1686
+1004800000.0ns,s1,1,15371
+1004800000.0ns,s1,2,13762
+1004800000.0ns,s1,3,14997
+1004800000.0ns,s6,2,4593
+1004800000.0ns,s6,3,4786
+1004800000.0ns,s2,4,6166
+1004800000.0ns,s2,2,6164
+1004800000.0ns,s3,4,13777
+1004800000.0ns,s3,1,14503
+1004800000.0ns,s3,2,11915
+1004800000.0ns,s4,2,5275
+1004800000.0ns,s4,3,5728
+1004800000.0ns,s5,2,7237
+1004800000.0ns,s5,3,7199
+1004800000.0ns,s9,2,246
+1004800000.0ns,s9,3,267
+1004800000.0ns,s10,2,2260
+1004800000.0ns,s10,3,2423
+1004800000.0ns,s12,2,7660
+1004800000.0ns,s12,3,8218
+1004800000.0ns,s27,0,8264
+1004800000.0ns,s27,1,8317
+1004800000.0ns,s27,3,5006
+1004800000.0ns,s28,0,2041
+1004800000.0ns,s28,1,2120
+1004800000.0ns,s28,3,729
+1004800000.0ns,s34,0,5389
+1004800000.0ns,s34,1,5670
+1004800000.0ns,s34,2,23
+1004800000.0ns,s35,0,2950
+1004800000.0ns,s35,1,2729
+1004800000.0ns,s35,3,1938
+1004900000.0ns,s1,1,15958
+1004900000.0ns,s1,2,14281
+1004900000.0ns,s1,3,15596
+1004900000.0ns,s6,2,5071
+1004900000.0ns,s6,3,5214
+1004900000.0ns,s2,4,6568
+1004900000.0ns,s2,2,6596
+1004900000.0ns,s3,4,14389
+1004900000.0ns,s3,1,15050
+1004900000.0ns,s3,2,12433
+1004900000.0ns,s4,2,5675
+1004900000.0ns,s4,3,6180
+1004900000.0ns,s21,0,208
+1004900000.0ns,s21,4,61
+1004900000.0ns,s21,1,157
+1004900000.0ns,s21,3,111
+1004900000.0ns,s5,2,7708
+1004900000.0ns,s5,3,7661
+1004900000.0ns,s9,2,613
+1004900000.0ns,s9,3,570
+1004900000.0ns,s10,2,2657
+1004900000.0ns,s10,3,2849
+1004900000.0ns,s11,2,187
+1004900000.0ns,s11,3,175
+1004900000.0ns,s12,2,8135
+1004900000.0ns,s12,3,8627
+1004900000.0ns,s27,0,8703
+1004900000.0ns,s27,1,8752
+1004900000.0ns,s27,3,5373
+1004900000.0ns,s28,0,2331
+1004900000.0ns,s28,1,2353
+1004900000.0ns,s28,3,977
+1004900000.0ns,s34,0,5752
+1004900000.0ns,s34,1,6040
+1004900000.0ns,s34,2,23
+1004900000.0ns,s35,0,3234
+1004900000.0ns,s35,1,2980
+1004900000.0ns,s35,3,2165
+1005000000.0ns,s1,1,16569
+1005000000.0ns,s1,2,14802
+1005000000.0ns,s1,3,16136
+1005000000.0ns,s6,2,5542
+1005000000.0ns,s6,3,5661
+1005000000.0ns,s2,4,7010
+1005000000.0ns,s2,2,7025
+1005000000.0ns,s3,4,14972
+1005000000.0ns,s3,1,15637
+1005000000.0ns,s3,2,12950
+1005000000.0ns,s4,2,6132
+1005000000.0ns,s4,3,6607
+1005000000.0ns,s21,0,537
+1005000000.0ns,s21,4,166
+1005000000.0ns,s21,1,360
+1005000000.0ns,s21,3,287
+1005000000.0ns,s5,2,8175
+1005000000.0ns,s5,3,8131
+1005000000.0ns,s9,2,1012
+1005000000.0ns,s9,3,939
+1005000000.0ns,s10,2,3008
+1005000000.0ns,s10,3,3185
+1005000000.0ns,s11,2,352
+1005000000.0ns,s11,3,314
+1005000000.0ns,s12,2,8586
+1005000000.0ns,s12,3,9062
+1005000000.0ns,s27,0,9125
+1005000000.0ns,s27,1,9157
+1005000000.0ns,s27,3,5619
+1005000000.0ns,s28,0,2748
+1005000000.0ns,s28,1,2721
+1005000000.0ns,s28,3,1189
+1005000000.0ns,s34,0,6009
+1005000000.0ns,s34,1,6310
+1005000000.0ns,s34,2,23
+1005000000.0ns,s35,0,3424
+1005000000.0ns,s35,1,3179
+1005000000.0ns,s35,3,2343
+1005100000.0ns,s1,1,17206
+1005100000.0ns,s1,2,15346
+1005100000.0ns,s1,3,16732
